Category,Sub-category,Sub-sub-category,Name,Readable Name,# of bytes,Byte 1,Byte 2,Variable R/W status,Type,Argument(s) type(s) & value(s),Return type & value,Comments,Description
,,,not(,not(,1,B8,,,Function,,,,
,,,iPart(,iPart(,1,B9,,,Function,,,,
,,,fPart(,fPart(,1,BA,,,Function,,,,
,,,npv(,npv(,2,BB,00,,Function,,,,
,,,irr(,irr(,2,BB,01,,Function,,,,
,,,bal(,bal(,2,BB,02,,Function,,,,
,,,\u03a3Prn(,ΣPrn(,2,BB,03,,Function,,,,
,,,\u03a3Int(,ΣInt(,2,BB,04,,Function,,,,
,,,\uf014Nom(,►Nom(,2,BB,05,,Function,,,,
,,,\uf014Eff(,►Eff(,2,BB,06,,Function,,,,
,,,dbd(,dbd(,2,BB,07,,Function,,,,
,,,lcm(,lcm(,2,BB,08,,Function,,,,
,,,gcd(,gcd(,2,BB,09,,Function,,,,
,,,randInt(,randInt(,2,BB,0A,,Function,,,,
,,,randBin(,randBin(,2,BB,0B,,Function,,,,
,,,sub(,sub(,2,BB,0C,,Function,,,,
,,,stdDev(,stdDev(,2,BB,0D,,Function,,,,
,,,variance(,variance(,2,BB,0E,,Function,,,,
,,,inString(,inString(,2,BB,0F,,Function,,,,
,,,normalcdf(,normalcdf(,2,BB,10,,Function,,,,
,,,invNorm(,invNorm(,2,BB,11,,Function,,,,
,,,tcdf(,tcdf(,2,BB,12,,Function,,,,
,,,\u03c7\u00b2cdf(,χ²cdf(,2,BB,13,,Function,,,,
,,,\uf021cdf(,Fcdf(,2,BB,14,,Function,,,,
,,,binompdf(,binompdf(,2,BB,15,,Function,,,,
,,,binomcdf(,binomcdf(,2,BB,16,,Function,,,,
,,,poissonpdf(,poissonpdf(,2,BB,17,,Function,,,,
,,,poissoncdf(,poissoncdf(,2,BB,18,,Function,,,,
,,,geometpdf(,geometpdf(,2,BB,19,,Function,,,,
,,,geometcdf(,geometcdf(,2,BB,1A,,Function,,,,
,,,normalpdf(,normalpdf(,2,BB,1B,,Function,,,,
,,,tpdf(,tpdf(,2,BB,1C,,Function,,,,
,,,\u03c7\u00b2pdf(,χ²pdf(,2,BB,1D,,Function,,,,
,,,\uf021pdf(,Fpdf(,2,BB,1E,,Function,,,,
,,,randNorm(,randNorm(,2,BB,1F,,Function,,,,
,,,tvm_Pmt,tvm_Pmt,2,BB,20,Read-only,Variable,,,,
,,,tvm_I%,tvm_I%,2,BB,21,Read-only,Variable,,,,
,,,tvm_PV,tvm_PV,2,BB,22,Read-only,Variable,,,,
,,,tvm_\u015a,tvm_N,2,BB,23,Read-only,Variable,,,,
,,,tvm_FV,tvm_FV,2,BB,24,Read-only,Variable,,,,
,,,conj(,conj(,2,BB,25,,Function,,,,
,,,real(,real(,2,BB,26,,Function,,,,
,,,imag(,imag(,2,BB,27,,Function,,,,
,,,angle(,angle(,2,BB,28,,Function,,,,
,,,cumSum(,cumSum(,2,BB,29,,Function,,,,
,,,expr(,expr(,2,BB,2A,,Function,,,,
,,,length(,length(,2,BB,2B,,Function,,,,
,,,\uf024List(,ΔList(,2,BB,2C,,Function,,,,
,,,ref(,ref(,2,BB,2D,,Function,,,,
,,,rref(,rref(,2,BB,2E,,Function,,,,
,,,\uf014Rect,►Rect,2,BB,2F,,Postfix operator,,,,
,,,\uf014Polar,►Polar,2,BB,30,,Postfix operator,,,,
,,,\uf03f,e,2,BB,31,Read-only,Constant,,,,
,,,SinReg ,SinReg ,2,BB,32,,Function,,,,
,,,Logistic ,Logistic ,2,BB,33,,Function,,,,
,,,LinRegTTest ,LinRegTTest ,2,BB,34,,Function,,,,
,,,ShadeNorm(,ShadeNorm(,2,BB,35,,Function,,,,
,,,Shade_t(,Shade_t(,2,BB,36,,Function,,,,
,,,Shade\u03c7\u00b2(,Shadeχ²(,2,BB,37,,Function,,,,
,,,Shade\uf021(,ShadeF(,2,BB,38,,Function,,,,
,,,Matr\uf014list(,Matr►list(,2,BB,39,,Function,,,,
,,,List\uf014matr(,List►matr(,2,BB,3A,,Function,,,,
,,,Z-Test(,Z-Test(,2,BB,3B,,Function,,,,
,,,T-Test ,T-Test ,2,BB,3C,,Function,,,,
,,,2-SampZTest(,2-SampZTest(,2,BB,3D,,Function,,,,
,,,1-PropZTest(,1-PropZTest(,2,BB,3E,,Function,,,,
,,,2-PropZTest(,2-PropZTest(,2,BB,3F,,Function,,,,
,,,\u03c7\u00b2-Test(,χ²-Test(,2,BB,40,,Function,,,,
,,,ZInterval ,ZInterval ,2,BB,41,,Function,,,,
,,,2-SampZInt(,2-SampZInt(,2,BB,42,,Function,,,,
,,,1-PropZInt(,1-PropZInt(,2,BB,43,,Function,,,,
,,,2-PropZInt(,2-PropZInt(,2,BB,44,,Function,,,,
,,,GraphStyle(,GraphStyle(,2,BB,45,,Function,,,,
,,,2-SampTTest ,2-SampTTest ,2,BB,46,,Function,,,,
,,,2-Samp\uf021Test ,2-SampFTest ,2,BB,47,,Function,,,,
,,,TInterval ,TInterval ,2,BB,48,,Function,,,,
,,,2-SampTInt ,2-SampTInt ,2,BB,49,,Function,,,,
,,,SetUpEditor ,SetUpEditor ,2,BB,4A,,Function,,,,
,,,Pmt_End,Pmt_End,2,BB,4B,,Action,,,,
,,,Pmt_Bgn,Pmt_Bgn,2,BB,4C,,Action,,,,
,,,Real,Real,2,BB,4D,,Action,,,,
,,,r\uf03f^\u03b8\uf02f,re^θi,2,BB,4E,,Action,,,,
,,,a+b\uf02f,a+bi,2,BB,4F,,Action,,,,
,,,ExprOn,ExprOn,2,BB,50,,Action,,,,
,,,ExprOff,ExprOff,2,BB,51,,Action,,,,
,,,ClrAllLists,ClrAllLists,2,BB,52,,Action,,,,
,,,GetCalc(,GetCalc(,2,BB,53,,Function,,,,
,,,DelVar ,DelVar ,2,BB,54,,Function,,,,
,,,Equ\uf014String(,Equ►String(,2,BB,55,,Function,,,,
,,,String\uf014Equ(,String►Equ(,2,BB,56,,Function,,,,
,,,Clear Entries,Clear Entries,2,BB,57,,Action,,,,
,,,Select(,Select(,2,BB,58,,Function,,,,
,,,ANOVA(,ANOVA(,2,BB,59,,Function,,,,
,,,ModBoxplot,ModBoxplot,2,BB,5A,,Other,,,,
,,,NormProbPlot,NormProbPlot,2,BB,5B,,Other,,,,
,,,G\u2014T,G-T,2,BB,64,,Action,,,,
,,,ZoomFit,ZoomFit,2,BB,65,,Action,,,,
,,,DiagnosticOn,DiagnosticOn,2,BB,66,,Action,,,,
,,,DiagnosticOff,DiagnosticOff,2,BB,67,,Action,,,,
,,,Archive ,Archive ,2,BB,68,,Function,,,,
,,,UnArchive ,UnArchive ,2,BB,69,,Function,,,,
,,,Asm(,Asm(,2,BB,6A,,Function,,,,
,,,AsmComp(,AsmComp(,2,BB,6B,,Function,,,,
,,,AsmPrgm,AsmPrgm,2,BB,6C,,BASIC instruction only,,,,
,,,compiled asm,compiled asm,2,BB,6D,,Other,,,,
,,,\u00c1,Á,2,BB,6E,,Text/Symbol only,,,,
,,,\u00c0,À,2,BB,6F,,Text/Symbol only,,,,
,,,\u00c2,Â,2,BB,70,,Text/Symbol only,,,,
,,,\u00c4,Ä,2,BB,71,,Text/Symbol only,,,,
,,,\u00e1,á,2,BB,72,,Text/Symbol only,,,,
,,,\u00e0,à,2,BB,73,,Text/Symbol only,,,,
,,,\u00e2,â,2,BB,74,,Text/Symbol only,,,,
,,,\u00e4,ä,2,BB,75,,Text/Symbol only,,,,
,,,\u00c9,É,2,BB,76,,Text/Symbol only,,,,
,,,\u00c8,È,2,BB,77,,Text/Symbol only,,,,
,,,\u00ca,Ê,2,BB,78,,Text/Symbol only,,,,
,,,\u00cb,Ë,2,BB,79,,Text/Symbol only,,,,
,,,\u00e9,é,2,BB,7A,,Text/Symbol only,,,,
,,,\u00e8,è,2,BB,7B,,Text/Symbol only,,,,
,,,\u00ea,ê,2,BB,7C,,Text/Symbol only,,,,
,,,\u00eb,ë,2,BB,7D,,Text/Symbol only,,,,
,,,\u00cc,Ì,2,BB,7F,,Text/Symbol only,,,,
,,,\u00ce,Î,2,BB,80,,Text/Symbol only,,,,
,,,\u00cf,Ï,2,BB,81,,Text/Symbol only,,,,
,,,\u00ed,í,2,BB,82,,Text/Symbol only,,,,
,,,\u00ec,ì,2,BB,83,,Text/Symbol only,,,,
,,,\u00ee,î,2,BB,84,,Text/Symbol only,,,,
,,,\u00ef,ï,2,BB,85,,Text/Symbol only,,,,
,,,\u00d3,Ó,2,BB,86,,Text/Symbol only,,,,
,,,\u00d2,Ò,2,BB,87,,Text/Symbol only,,,,
,,,\u00d4,Ô,2,BB,88,,Text/Symbol only,,,,
,,,\u00d6,Ö,2,BB,89,,Text/Symbol only,,,,
,,,\u00f3,ó,2,BB,8A,,Text/Symbol only,,,,
,,,\u00f2,ò,2,BB,8B,,Text/Symbol only,,,,
,,,\u00f4,ô,2,BB,8C,,Text/Symbol only,,,,
,,,\u00f6,ö,2,BB,8D,,Text/Symbol only,,,,
,,,\u00da,Ú,2,BB,8E,,Text/Symbol only,,,,
,,,\u00d9,Ù,2,BB,8F,,Text/Symbol only,,,,
,,,\u00db,Û,2,BB,90,,Text/Symbol only,,,,
,,,\u00dc,Ü,2,BB,91,,Text/Symbol only,,,,
,,,\u00fa,ú,2,BB,92,,Text/Symbol only,,,,
,,,\u00f9,ù,2,BB,93,,Text/Symbol only,,,,
,,,\u00fb,û,2,BB,94,,Text/Symbol only,,,,
,,,\u00fc,ü,2,BB,95,,Text/Symbol only,,,,
,,,\u00c7,Ç,2,BB,96,,Text/Symbol only,,,,
,,,\u00e7,ç,2,BB,97,,Text/Symbol only,,,,
,,,\u00d1,Ñ,2,BB,98,,Text/Symbol only,,,,
,,,\u00f1,ñ,2,BB,99,,Text/Symbol only,,,,
,,,\u00b4,´,2,BB,9A,,Text/Symbol only,,,,
,,,\u00a8,¨,2,BB,9C,,Text/Symbol only,,,,
,,,\u00bf,¿,2,BB,9D,,Text/Symbol only,,,,
,,,\u00a1,¡,2,BB,9E,,Text/Symbol only,,,,
,,,\u03b1,α,2,BB,9F,,Text/Symbol only,,,,
,,,\u03b2,β,2,BB,A0,,Text/Symbol only,,,,
,,,\u03b3,γ,2,BB,A1,,Text/Symbol only,,,,
,,,\uf024,Δ,2,BB,A2,,Text/Symbol only,,,,
,,,\u03b4,δ,2,BB,A3,,Text/Symbol only,,,,
,,,\u03b5,ε,2,BB,A4,,Text/Symbol only,,,,
,,,\u03bb,λ,2,BB,A5,,Text/Symbol only,,,,
,,,\u00b5,μ,2,BB,A6,,Text/Symbol only,,,,
,,,\u03c1,|π,2,BB,A7,,Text/Symbol only,,,,
,,,\u03c1,ρ,2,BB,A8,,Text/Symbol only,,,,
,,,\u03a3,Σ,2,BB,A9,,Text/Symbol only,,,,
,,,\u03c6,Φ,2,BB,AB,,Text/Symbol only,,,,
,,,\u03a9,Ω,2,BB,AC,,Text/Symbol only,,,,
,,,ṗ,ṗ,2,BB,AD,,Text/Symbol only,,,,
,,,\u03c7,χ,2,BB,AE,,Text/Symbol only,,,,
,,,|F,|F,2,BB,AF,,Text/Symbol only,,,,
,,,a,a,2,BB,B0,,Text/Symbol only,,,,
,,,b,b,2,BB,B1,,Text/Symbol only,,,,
,,,c,c,2,BB,B2,,Text/Symbol only,,,,
,,,d,d,2,BB,B3,,Text/Symbol only,,,,
,,,e,e,2,BB,B4,,Text/Symbol only,,,,
,,,f,f,2,BB,B5,,Text/Symbol only,,,,
,,,g,g,2,BB,B6,,Text/Symbol only,,,,
,,,h,h,2,BB,B7,,Text/Symbol only,,,,
,,,i,i,2,BB,B8,,Text/Symbol only,,,,
,,,j,j,2,BB,B9,,Text/Symbol only,,,,
,,,k,k,2,BB,BA,,Text/Symbol only,,,,
,,,l,l,2,BB,BC,,Text/Symbol only,,,,
,,,m,m,2,BB,BD,,Text/Symbol only,,,,
,,,n,n,2,BB,BE,,Text/Symbol only,,,,
,,,o,o,2,BB,BF,,Text/Symbol only,,,,
,,,p,p,1,BB,C0,,Text/Symbol only,,,,
,,,q,q,2,BB,C1,,Text/Symbol only,,,,
,,,r,r,2,BB,C2,,Text/Symbol only,,,,
,,,s,s,2,BB,C3,,Text/Symbol only,,,,
,,,t,t,2,BB,C4,,Text/Symbol only,,,,
,,,u,u,2,BB,C5,,Text/Symbol only,,,,
,,,v,v,2,BB,C6,,Text/Symbol only,,,,
,,,w,w,2,BB,C7,,Text/Symbol only,,,,
,,,x,x,2,BB,C8,,Text/Symbol only,,,,
,,,y,y,2,BB,C9,,Text/Symbol only,,,,
,,,z,z,2,BB,CA,,Text/Symbol only,,,,
,,,\u03c3,σ,2,BB,CB,,Text/Symbol only,,,,
,,,\u03c4,τ,2,BB,CC,,Text/Symbol only,,,,
,,,\u00cd,Í,2,BB,CD,,Text/Symbol only,,,,
,,,GarbageCollect,GarbageCollect,2,BB,CE,,Action,,,,
,,,~,~,2,BB,CF,,Text/Symbol only,,,CF-DA: 83+ 1.15 or later,
,,,@,@,2,BB,D1,,Text/Symbol only,,,,
,,,#,#,2,BB,D2,,Text/Symbol only,,,,
,,,$,$,2,BB,D3,,Text/Symbol only,,,,
,,,&,&,2,BB,D4,,Text/Symbol only,,,,
,,,`,`,2,BB,D5,,Text/Symbol only,,,,
,,,;,;,2,BB,D6,,Text/Symbol only,,,,
,,,\,\,2,BB,D7,,Text/Symbol only,,,,
,,,|,|,2,BB,D8,,Text/Symbol only,,,,
,,,_,_,2,BB,D9,,Text/Symbol only,,,,
,,,%,%,2,BB,DA,,Postfix operator,,,,
,,,\u2026,…,2,BB,DB,,Text/Symbol only,,,DB-F5: 83+ 1.16 or later,
,,,\u2220,∠,2,BB,DC,,Text/Symbol only,,,,
,,,\u00df,ß,2,BB,DD,,Text/Symbol only,,,,
,,,\uf006,ˣ,2,BB,DE,,Text/Symbol only,,,,
,,,\uf038,ᴛ,2,BB,DF,,Text/Symbol only,,,,
,,,\u2080,₀,2,BB,E0,,Text/Symbol only,,,,
,,,\u2081,₁,2,BB,E1,,Text/Symbol only,,,,
,,,\u2082,₂,2,BB,E2,,Text/Symbol only,,,,
,,,\u2083,₃,2,BB,E3,,Text/Symbol only,,,,
,,,\u2084,₄,2,BB,E4,,Text/Symbol only,,,,
,,,\u2085,₅,2,BB,E5,,Text/Symbol only,,,,
,,,\u2086,₆,2,BB,E6,,Text/Symbol only,,,,
,,,\u2087,₇,2,BB,E7,,Text/Symbol only,,,,
,,,\u2088,₈,2,BB,E8,,Text/Symbol only,,,,
,,,\u2089,₉,2,BB,E9,,Text/Symbol only,,,,
,,,\uf01d,₁₀,2,BB,EA,,Text/Symbol only,,,,
,,,\uf00b,◄,2,BB,EB,,Text/Symbol only,,,,
,,,\uf014,►,2,BB,EC,,Text/Symbol only,,,,
,,,\u2191,↑,2,BB,ED,,Text/Symbol only,,,,
,,,\u2193,↓,2,BB,EE,,Text/Symbol only,,,,
,,,\u00d7,×,2,BB,F0,,Text/Symbol only,,,,
,,,\u222b,∫,2,BB,F1,,Text/Symbol only,,,,
,,,\uf015,bold ↑,2,BB,F2,,Text/Symbol only,,,,
,,,\uf016,bold ↓,2,BB,F3,,Text/Symbol only,,,,
,,,\u221a,√,2,BB,F4,,Text/Symbol only,,,,
,,,\u015c,inverted =,2,BB,F5,,Text/Symbol only,,,,
,,,\u221a(,√(,1,BC,,,Function,,,,
,,,\uf00d\u221a(,³√(,1,BD,,,Function,,,,
,,,ln(,ln(,1,BE,,,Function,,,,
,,,\uf03f^(,e^(,1,BF,,,Function,,,,
,,,log(,log(,1,C0,,,Function,,,,
,,,\uf01d^(,₁₀^(,1,C1,,,Function,,,,
,,,sin(,sin(,1,C2,,,Function,,,,
,,,sin\uf005(,sin⁻¹(,1,C3,,,Function,,,,
,,,cos(,cos(,1,C4,,,Function,,,,
,,,cos\uf005(,cos⁻¹(,1,C5,,,Function,,,,
,,,tan(,tan(,1,C6,,,Function,,,,
,,,tan\uf005(,tan⁻¹(,1,C7,,,Function,,,,
,,,sinh(,sinh(,1,C8,,,Function,,,,
,,,sinh\uf005(,sinh⁻¹(,1,C9,,,Function,,,,
,,,cosh(,cosh(,1,CA,,,Function,,,,
,,,cosh\uf005(,soch⁻¹(,1,CB,,,Function,,,,
,,,tanh(,tanh(,1,CC,,,Function,,,,
,,,tanh\uf005(,tanh⁻¹(,1,CD,,,Function,,,,
,,,If ,If ,1,CE,,,BASIC instruction only,,,,
,,,Then,Then,1,CF,,,BASIC instruction only,,,,
,,,Else,Else,1,D0,,,BASIC instruction only,,,,
,,,While ,While ,1,D1,,,BASIC instruction only,,,,
,,,Repeat ,Repeat ,1,D2,,,BASIC instruction only,,,,
,,,For(,For(,1,D3,,,BASIC instruction only,,,,
,,,End,End,1,D4,,,BASIC instruction only,,,,
,,,Return,Return,1,D5,,,BASIC instruction only,,,,
,,,Lbl ,Lbl ,1,D6,,,BASIC instruction only,,,,
,,,Goto ,Goto ,1,D7,,,BASIC instruction only,,,,
,,,Pause ,Pause ,1,D8,,,BASIC instruction only,,,,
,,,Stop,Stop,1,D9,,,BASIC instruction only,,,,
,,,IS>(,IS>(,1,DA,,,BASIC instruction only,,,,
,,,DS<(,DS<(,1,DB,,,BASIC instruction only,,,,
,,,Input ,Input ,1,DC,,,BASIC instruction only,,,,
,,,Prompt ,Prompt ,1,DD,,,BASIC instruction only,,,,
,,,Disp ,Disp ,1,DE,,,BASIC instruction only,,,,
,,,DispGraph,DispGraph,1,DF,,,BASIC instruction only,,,,
,,,Output(,Output(,1,E0,,,BASIC instruction only,,,,
,,,ClrHome,ClrHome,1,E1,,,BASIC instruction only,,,,
,,,Fill(,Fill(,1,E2,,,Function,,,,
,,,SortA(,SortA(,1,E3,,,Function,,,,
,,,SortD(,SortD(,1,E4,,,Function,,,,
,,,DispTable,DispTable,1,E5,,,Action,,,,
,,,Menu(,Menu(,1,E6,,,Function,,,,
,,,Send(,Send(,1,E7,,,Function,,,,
,,,Get(,Get(,1,E8,,,Function,,,,
,,,PlotsOn ,PlotsOn ,1,E9,,,Action,,,,
,,,PlotsOff ,PlotsOff ,1,EA,,,Action,,,,
,,,\u230a,⌊,1,EB,,,Other,,,,
,,,Plot1(,Plot1(,1,EC,,,Function,,,,
,,,Plot2(,Plot2(,1,ED,,,Function,,,,
,,,Plot3(,Plot3(,1,EE,,,Function,,,,
,,,setDate(,setDate(,2,EF,00,,Function,,,EFXX tokens are TI-84+ and later only,
,,,setTime(,setTime(,2,EF,01,,Function,,,,
,,,checkTmr(,checkTmr(,2,EF,02,,Function,,,,
,,,setDtFmt(,setDtFmt(,2,EF,03,,Function,,,,
,,,setTmFmt(,setTmFmt(,2,EF,04,,Function,,,,
,,,timeCnv(,timeCnv(,2,EF,05,,Function,,,,
,,,dayOfWk(,dayOfWk(,2,EF,06,,Function,,,,
,,,getDtStr(,getDtStr(,2,EF,07,,Function,,,,
,,,getTmStr(,getTmStr(,2,EF,08,,Function,,,,
,,,getDate,getDate,2,EF,09,,Function,,,,
,,,getTime,getTime,2,EF,0A,,Function,,,,
,,,startTmr,startTmr,2,EF,0B,,Function,,,,
,,,getDtFmt,getDtFmt,2,EF,0C,,Function,,,,
,,,getTmFmt,getTmFmt,2,EF,0D,,Function,,,,
,,,isClockOn,isClockOn,2,EF,0E,,Function,,,,
,,,ClockOff,ClockOff,2,EF,0F,,Action,,,,
,,,ClockOn,ClockOn,2,EF,10,,Action,,,,
,,,OpenLib(,OpenLib(,2,EF,11,,Function,,,,
,,,ExecLib,ExecLib,2,EF,12,,Action,,,,
,,,invT(,invT(,2,EF,13,,Function,,,,
,,,\u03c7\u00b2GOF-Test(,χ²GOF-Test(,2,EF,14,,Function,,,,
,,,LinRegTInt ,LinRegTInt ,2,EF,15,,Function,,,,
,,,Manual-Fit ,Manual-Fit ,2,EF,16,,Function,,,,
,,,ZQuadrant1,ZQuadrant1,2,EF,17,,Action,,,,
,,,ZFrac1\uf01e2,ZFrac1⁄2,2,EF,18,,Action,,,,
,,,ZFrac1\uf01e3,ZFrac1⁄3,2,EF,19,,Action,,,,
,,,ZFrac1\uf01e4,ZFrac1⁄4,2,EF,1A,,Action,,,,
,,,ZFrac1\uf01e5,ZFrac1⁄5,2,EF,1B,,Action,,,,
,,,ZFrac1\uf01e8,ZFrac1⁄8,2,EF,1C,,Action,,,,
,,,ZFrac1\uf01e10,ZFrac1⁄10,2,EF,1D,,Action,,,,
,,,matprintbox,matprintbox,2,EF,1E,,Other,,,,
,,,\uf01e,⁄,2,EF,2E,,Text/Symbol only,,,,
,,,\u2423,ᵤ,2,EF,2F,,Text/Symbol only,,,,
,,,\uf014n\uf01ed\uf00b\uf014Un\uf01ed,►n⁄d◄►Un⁄d,2,EF,30,,Postfix operator,,,,
,,,\uf014F\uf00b\uf014D,►F◄►D,2,EF,31,,Postfix operator,,,,
,,,remainder(,remainder(,2,EF,32,,Function,,,,
,,,\u03a3(,Σ(,2,EF,33,,Function,,,,
,,,logBASE(,logBASE(,2,EF,34,,Function,,,,
,,,randIntNoRep(,randIntNoRep(,2,EF,35,,Function,,,,
,,,CLASSIC,CLASSIC,2,EF,36,,Action,,,Alias ?,
,,,MATHPRINT,MATHPRINT,2,EF,37,,Action,,,,
,,,CLASSIC,CLASSIC,2,EF,38,,Action,,,,
,,,n\uf01ed,n⁄d,2,EF,39,,Action,,,,
,,,Un\uf01ed,Un⁄d,2,EF,3A,,Action,,,,
,,,AUTO,AUTO,2,EF,3B,,Action,,,,
,,,DEC,DEC,2,EF,3C,,Action,,,,
,,,FRAC,FRAC,2,EF,3D,,Action,,,,
,,,FRAC-APPROX,FRAC-APPROX,2,EF,3D,,Action,,,Alias / Old,
,,,STATWIZARD ON,STATWIZARD ON,2,EF,3F,,Action,,,,
,,,STATWIZARD OFF,STATWIZARD OFF,2,EF,40,,Action,,,,
,,,BLUE,BLUE,2,EF,41,,Action,,,,
,,,RED,RED,2,EF,42,,Action,,,,
,,,BLACK,BLACK,2,EF,43,,Action,,,,
,,,MAGENTA,MAGENTA,2,EF,44,,Action,,,,
,,,GREEN,GREEN,2,EF,45,,Action,,,,
,,,ORANGE,ORANGE,2,EF,46,,Action,,,,
,,,BROWN,BROWN,2,EF,47,,Action,,,,
,,,NAVY,NAVY,2,EF,48,,Action,,,,
,,,LTBLUE,LTBLUE,2,EF,49,,Action,,,,
,,,YELLOW,YELLOW,2,EF,4A,,Action,,,,
,,,WHITE,WHITE,2,EF,4B,,Action,,,,
,,,LTGRAY,LTGRAY,2,EF,4C,,Action,,,,
,,,MEDGRAY,MEDGRAY,2,EF,4D,,Action,,,,
,,,GRAY,GRAY,2,EF,4E,,Action,,,,
,,,DARKGRAY,DARKGRAY,2,EF,4F,,Action,,,,
,,,Image1,Image1,2,EF,50,Read/Write,Variable,,,,
,,,Image2,Image2,2,EF,51,Read/Write,Variable,,,,
,,,Image3,Image3,2,EF,52,Read/Write,Variable,,,,
,,,Image4,Image4,2,EF,53,Read/Write,Variable,,,,
,,,Image5,Image5,2,EF,54,Read/Write,Variable,,,,
,,,Image6,Image6,2,EF,55,Read/Write,Variable,,,,
,,,Image7,Image7,2,EF,56,Read/Write,Variable,,,,
,,,Image8,Image8,2,EF,57,Read/Write,Variable,,,,
,,,Image9,Image9,2,EF,58,Read/Write,Variable,,,,
,,,Image0,Image0,2,EF,59,Read/Write,Variable,,,,
,,,GridLine ,GridLine ,2,EF,5A,,Action,,,,
,,,BackgroundOn ,BackgroundOn ,2,EF,5B,,Action,,,,
,,,BackgroundOff,BackgroundOff,2,EF,64,,Action,,,,
,,,GraphColor(,GraphColor(,2,EF,65,,Function,,,,
,,,TextColor(,TextColor(,2,EF,67,,Function,,,,
,,,Asm84CPrgm,Asm84CPrgm,2,EF,68,,BASIC instruction only,,,,
,,,DetectAsymOn,DetectAsymOn,2,EF,6A,,Action,,,,
,,,DetectAsymOff,DetectAsymOff,2,EF,6B,,Action,,,,
,,,BorderColor ,BorderColor ,2,EF,6C,,Function,,,,
,,,\u00b7,·,2,EF,73,,Other,,,,
,,,Thin,Thin,2,EF,74,,Action,,,,
,,,Dot-Thin,Dot-Thin,2,EF,75,,Action,,,,
,,,Asm83CEPrgm,Asm83CEPrgm,2,EF,7A,,BASIC instruction only,,,,
,,,Asm84CEPrgm,Asm84CEPrgm,2,EF,7A,,BASIC instruction only,,,,
,,,^,^,1,F0,,,Infix operator,,,,
,,,\uf006\u221a,ˣ√,1,F1,,,Infix operator,,,,
,,,1-Var Stats ,1-Var Stats ,1,F2,,,Function,,,,
,,,2-Var Stats ,2-Var Stats ,1,F3,,,Function,,,,
,,,LinReg(a+bx) ,LinReg(a+bx) ,1,F4,,,Function,,,,
,,,ExpReg ,ExpReg ,1,F5,,,Function,,,,
,,,LnReg ,LnReg ,1,F6,,,Function,,,,
,,,PwrReg ,PwrReg ,1,F7,,,Function,,,,
,,,Med-Med ,Med-Med ,1,F8,,,Function,,,,
,,,QuadReg ,QuadReg ,1,F9,,,Function,,,,
,,,ClrList ,ClrList ,1,FA,,,Function,,,,
,,,ClrTable,ClrTable,1,FB,,,Function,,,,
,,,Histogram,Histogram,1,FC,,,Other,,,,
,,,xyLine,xyLine,1,FD,,,Other,,,,
,,,Scatter,Scatter,1,FE,,,Other,,,,
,,,LinReg(ax+b) ,LinReg(ax+b) ,1,FF,,,Function,,,,